n,user_id,timezone,-,sex,age,height
46,5ea085e4630ac440102bacfcb43dbc11236cfb50,UTC,-,Female,64,174
47,c9880996f04c7059f7a33d887e9648d3d039769f,PDT,-,Male,46,179
48,69f2b3f2246d564e2c454cc49a6fbb5975db9e6f,UTC,-,Male,60,177
49,4e307a26cc276a1f98de2554561c1dc3b6d8bde1,UTC,-,Male,39,182
50,e863e1efaba8b77ac8b4771ea5b0f60cc5ad86da,UTC,-,Male,57,153
51,75b59d5a5cc621af2d2ff8871bf7cd45c0a8344a,UTC,-,Female,28,166
52,54bfed6a562ac2618af69e6a245678fb20d35774,UTC,-,Male,18,171
53,a7eafc48daae0107e7e5183d802a8daf8fe05465,UTC,-,Male,42,171
54,9b881f2041def1292a9ab29343e85252a468f522,UTC,-,Male,38,181
55,f3dacae2cda96512a8ee30272c200db7b1578d7d,UTC,-,Female,54,166
56,7f5df7d67c02a6ee7fe9770631afe96838b7def2,UTC,-,Male,63,167
57,eeae64151305ed7725394db6f6c16630e212fe95,UTC,-,Female,52,169
58,8e0cf09ca3b99bb46bf9a7e254bda425de5f67e2,UTC,-,Female,52,161
59,24f9c25e4e22935f852b9fe391bd0e7ecf536156,UTC,-,Female,18,163
60,ff285c7c15dfcd889f94879b16ede0ec72c354f4,UTC,-,Female,45,163
61,3a87ba88b2f2ecbba07bf72bfa5c5a29ced963e1,UTC,-,Male,54,176
62,cb9e5fdbea3999e5cc99ef06da5ff3aa2175648c,UTC,-,Female,31,162
63,987c433ea2b755e697f50e1a8f83b9049c137aff,PDT,-,Female,38,159
64,9f6be9667df750686095bccbe56c5176aaa7b325,UTC,-,Female,51,177
65,5eb428e5226cc8c1a08e8c36419567235d511850,PDT,-,Male,38,172
66,ca69305a62d39e98b7d66204483cc81718a27f2b,UTC,-,Female,18,151
67,202c757783db4e572c0a42cd433e834bf588081e,PDT,-,Male,25,174
68,74a4d415407ea5d84aa0885cba2b30c5603ad746,UTC,-,Male,48,180
69,605574b592fc5c2bf94c9f5141d1171a2d3fdf0e,UTC,-,Female,54,162
70,3f32c67d5170a1775695a8eb4f1e2c8f517acdcd,PDT,-,Male,25,174
71,849a8f8a483dc69b6acebc3cde2e68f124f51a7c,PDT,-,Male,29,182
72,6613727890697966d41ad9d8542b83b51e510d55,UTC,-,Male,38,189
73,f4fb86812ebf7d66b217820a5efc7c8bac0000ca,UTC,-,Female,58,163
74,c231d8d5b9de39611b69d4eb8d61a756fb26070b,UTC,-,Male,36,176
75,acbfe93fdef16bb4150aec7e176879f44310ed2c,PDT,-,Female,66,162
76,93fab7d7d7d05c23faef60b97e9cba6cdfc0a487,UTC,-,Female,29,174
77,9d4e36f6a8175517fe28130ffcbecffb9aa19471,UTC,-,Female,39,161
78,a7b61ea0c54b53d41a65c525107cdec9e38a94a5,PDT,-,Female,18,164
79,aff464812517f56be719f6ee38eb3d6b7185d044,UTC,-,Male,59,176
80,239a9f455cbcea71439fddd5c8740e192b9d4793,UTC,-,Male,51,181
81,b9e496f970d357f93275c170a9dd104c4ada03ab,UTC,-,Male,28,179
82,37781750b00e7cd91a32ffc2e7d676715ccc7f41,UTC,-,Male,45,176
83,b9226dc8c243de2f14cc085e810a009551cbfd63,UTC,-,Male,23,187
84,14f9a5ecddcdbfcdc572f203bd9133962cabf9be,UTC,-,Female,42,161
85,1757b5967bc9e1939d7bbb6caa2cca1f2a4ce8d0,PDT,-,Female,26,159
86,b9fa4119fd5f04aa6dde8ac95c412bb5c15cead7,PDT,-,Female,72,149
87,71d0a7fde5606873eedb60341494d8e69d253cb2,UTC,-,Male,32,161
88,92a531315173fa236c39d8a2402fa2f761ab8689,UTC,-,Female,31,175
89,e2f2067dbb4b91ea5f63dbbdd30b4a5f725f76bd,UTC,-,Female,62,253
90,3db464cebe8b35b034d08bc1cd718ae4e6e31599,UTC,-,Male,62,179
91,e563e9b1a829bd0727e8a9823b7920b7d1b5dc79,UTC,-,Male,41,177
92,498542dea66fdd033720c6d82d4bacc3219821c3,UTC,-,Female,64,163
93,6a644da3bc4a1da8b3dc231a6608eea86f5dee6b,UTC,-,Female,52,178
94,24b58c1280fbfc16514e621c2d7f7e53480089bc,UTC,-,Female,31,167
95,a75fa104b9ceadfeb06a8d744aacbc787f4a7294,UTC,-,Male,30,179
96,f4cae762ee5cfef511f529f4f4eeb82685df714b,PDT,-,Female,32,172
97,f596c987b90cdaad25745025db1371397f88308e,UTC,-,Male,25,171
98,a5789d6d844a52df7515fc0faa491aa766b0b92a,UTC,-,Female,61,159
99,5c2dcc2741907aad120c9601467bedec301c1f5e,PDT,-,Female,44,164
100,9ef960968d0e63c4f0727a615dc82c34f3001321,UTC,-,Male,52,173
101,c929ccead7e86e618700e71de673718753cc58d4,UTC,-,Male,50,189
102,307f5545378b3ed5b2656b4068db846fd99f729a,UTC,-,Female,57,159
103,ea6842644283de9511caba764189ade0eb5dce8b,UTC,-,Female,53,169
104,6ec24bcefea9dd728d69c7469d94f68c70f17bd8,UTC,-,Female,68,164
105,9b434603bdda5dbf19c8826b48c3978e717a1271,UTC,-,Female,41,163
106,c4501bcee06ffac242644eac7ed0ba107e68419a,UTC,-,Male,69,179
107,6ca6a034d691e98bf632fda9506cc773e77eb5f4,UTC,-,Female,52,158
108,d9138f40e8f23520615901fafc2dc2b45ead9214,UTC,-,Female,51,158
109,483df920850a96388d7011d41eae530b003c6cf2,UTC,-,Male,53,202
110,737f455e882b113cf9d5f1911008e45eeacafd54,UTC,-,Female,31,179
111,73716f2563dbc733d4b9bcd26b2e3ffb490d688f,UTC,-,Female,50,167
112,467371786c0fec012c0bf3304dd98a5c35c7e73d,PDT,-,Male,33,179
113,d3d46ff5670807d7c08a219f434c6151220f0a89,PDT,-,Male,27,190
114,c2e1e282447f787f7e5930ab35953c301ead8f95,PDT,-,Male,38,187
115,4750c4bf65d461027900902153dcf42c3c42cdee,PDT,-,Female,26,159
116,4974d40da0aff291f3e7106d76e366bff45fd782,PDT,-,Male,42,190
117,8a4bd53e45a8aeb4f9f42c1e8073a066cf378ef4,UTC,-,Male,45,185
118,c3aeb29b906127152089daa486dd1ee398fc67ff,UTC,-,Male,27,179
119,86d3711216a18673a78282ecace10ab1b9158d8c,UTC,-,Female,48,167
120,5e4494ab89cf1d6d2371cf115bef0c75a05378d2,PDT,-,Female,43,174
121,309c316df2aa443f2eb6845a840c9c5e419c921a,PDT,-,Female,39,169
122,c7643c0d699512ecb1663f1a9ab4314b75fd12ae,PDT,-,Male,31,190
123,2ed700298e4ed9a2e1d824b143fd704f402746bb,UTC,-,Male,50,180
124,21cd764a2578408051ee0e849dfb806e760a82d9,UTC,-,Male,66,167
125,a009749e47c1152192d01091165d113c36b64f04,UTC,-,Female,55,164
126,25d2ab12b5f11a8c70afa3986d28911e99760b67,PDT,-,Male,55,181
127,d05a7c117d68c4efa255364acf7c2b16d934179e,PDT,-,Male,36,174
128,8c91b65a14746f7f75a22d9e981c54049e2f5c07,PDT,-,Male,52,182
129,a45135cb11c5b528bdcb6d2641b8f3911be4867f,UTC,-,Female,40,166
130,576f3ab8fe2a88c5ea0a28c21766f5311903e7f1,UTC,-,Male,42,184
131,b550526fe25c31359aaa824c515c88bd3696421c,UTC,-,Male,30,176
132,20235b946b28f618a75298687b12c8557a66e7af,PDT,-,Female,47,159
133,a96809f3fb438a43cb39333d3ac6ebea153579f9,UTC,-,Female,35,174
134,6cb43db248823b6cd1c92a2ef65dd005e0e49b8d,PDT,-,Female,29,158
135,1dca556bf386968fe5c301d75c2848e9c925ecc4,UTC,-,Male,43,183
136,ca097b5833ec3e826f8ec0fafd44dcec560f2237,UTC,-,Male,64,173
137,3fb60b06b24ce2579506f0a730766ae81914c78c,PDT,-,Female,33,167
138,7cf8a51540f79ea4446eadb683cafb67e217c5fe,PDT,-,Male,44,179
139,943fc11892f54cc50947455d27a4c65c81a57e35,PDT,-,Female,44,161
140,51ce716dd6b6fa88f4319b51a6e798fb8c9b821b,UTC,-,Female,58,169
141,275bf965df5068e4f24efee60bb9aceb474f9b21,PDT,-,Male,51,176
142,3271e7d8fada5205ffdc515a9b27209247a90918,UTC,-,Female,30,171
143,d7a554decb69ccf24a3ea7d8a555707daedcbdbc,UTC,-,Female,33,181
144,c7a02a6a6a092009fa928d67904e6b2d22922a8d,UTC,-,Male,45,184
145,ae3cede4f57cb9ebf346d3ad75ec90ebb9f850ca,UTC,-,Male,40,185
146,10b759cfc8342b12e3f5da08646ced82fb4eede9,UTC,-,Female,29,162
147,a7e426ab753f26e8ca7b772b554aac36d29d5766,PDT,-,Male,42,169
148,fc07c708f08e8d56c275eb728c347fdc20bd49de,UTC,-,Female,38,159
149,3448ba107d962b0b2951662bb75b0a5bccb2dbcd,UTC,-,Male,19,176
150,6a2a0c3c7057cac026205c79dec37ccd5da3e8a9,PDT,-,Female,52,159
151,6414ab2a4d95bc4e5744904961807ca087704601,UTC,-,Female,44,169
152,bb5a7302eae64e95187b26b04efc30fdde352c27,UTC,-,Male,52,176
153,3dec042ee9406bbc5bf43e235a5075ef2231ba09,UTC,-,Male,49,197
154,97895693f4ebad3a4dd6945da15b4d791cd21192,UTC,-,Female,41,155
155,e7cec82342ae112ab47e3ab4fa39745ad0e5ab68,PDT,-,Male,49,169
156,f00cdd48bb273800aad9e75969d8f0426be478af,UTC,-,Female,26,158
157,df4629a6f74cdf95f651c019d3bb28dfd3691bf2,PDT,-,Male,35,187
158,ba2063584399ce5826171fc79b6206bc33b07806,UTC,-,Female,42,168
159,89fa97834824804e7e3ec5fb6d2bf1f390213a0d,PDT,-,Male,22,174
160,6f60164dacb32d4d1212665bc7aa9e3ff96e8a9e,PDT,-,Male,33,177
161,1864056ca97200737128a126a0364485e649365c,UTC,-,Male,51,191
162,d237e2be8342e2f589a51dc2eb44fbc56a51ee41,UTC,-,Male,63,154
163,4c4309b44a3b595ab9b331d35cbe8381403d4802,PDT,-,Female,33,164
164,df4ea4f9f1303ecd7df390e59b83741fc1493b2e,UTC,-,Female,54,153
165,38430c594adf5b958dd2fae2210f94db23b80b83,UTC,-,Male,35,174
166,f8e54344a52a7fb783e187416799d21f22b96c1c,UTC,-,Female,52,171
167,28bd89a2684b68f729feae85661541d1260b2abb,UTC,-,Male,30,179
168,d0a68dcba9d1fde6507f3bacfa6f36876e102fcc,UTC,-,Female,71,169
169,fa811903ab31fb04f089c17970043e1ebc7f2178,UTC,-,Male,53,182
170,1c33694e17b283ff5d1cba0291433317b4486719,UTC,-,Female,31,168
171,c4fce776be3df1a14a855f86a3087fdc94ee2328,PDT,-,Male,63,187
172,102b72d02aebae82c5c1ee3d4dcbc4d82de7c7ee,UTC,-,Male,39,159
173,c6b0fb9d95be82681721ab5fb4c0466f9a41401e,UTC,-,Female,70,161
174,59c8151d517d84bab4c0a16733bcb60d7109e81f,UTC,-,Male,49,157
175,da6e233f3925b12fe6e88c2b270c5b60ef53e3b8,UTC,-,Female,43,169
176,5ca10b3873520f20327cc4fbaf50457f109b76e7,UTC,-,Female,29,158
177,5faac469ded91e458ef075699a8aa6efb92aa5d8,PDT,-,Female,31,169
178,93ced0caffc56b2a830cf520482012d482e67ad4,UTC,-,Female,60,171
179,6e07d8bed9b38494aa097bfed089c0d849b63be6,UTC,-,Female,38,164
180,6d83c29cf16b2172b122c780d8658deed9ea291d,UTC,-,Male,43,176
181,b0d94c86ff572660122c188ec64a3577f8759967,PDT,-,Male,59,172
182,cb214dc1a926bfc98a62afe5ede8932ef4a59693,PDT,-,Male,30,182
183,54daf4c38f2fa6cb9d508f98c2ae6d8d9fab2a64,UTC,-,Female,23,166
184,ffe5b61a7f98b72baee993c51e7f3d8fdf9b3fc5,PDT,-,Male,42,174
185,b1a60a6215d94d4800d3c653db0594b60e78e7bf,UTC,-,Female,47,166
186,3e1f772fa18e8b429dabadd1c90483f5978d7764,UTC,-,Male,30,179
187,5c070e13b16db9bfc768d2452c5a8148be408189,UTC,-,Female,24,174
188,dd334a0a5d45b3d82eeb957789d6905bf07c613e,PDT,-,Female,55,174
189,3cd85344510db1ded0eb6bf74bdc452360081284,UTC,-,Female,37,175
190,db87a1e7dafb9c40eb318e83bf2f146a6fc5f3bd,UTC,-,Female,51,172
191,1252080b41106718ea863f74dec3279adce0a922,UTC,-,Female,60,164
192,3b93d359612db665695d5754aa041db12c09b5c0,UTC,-,Male,41,179
193,d7874fba65d1a306b8563562a55176cc24831655,PDT,-,Female,23,161
194,df567570479f75ce4b607afa3b263c029c4bcb97,UTC,-,Female,26,165
195,bdd4bbe5941d3144dec83b4811395412de11095d,UTC,-,Male,70,161
196,91d125b3bfa5346dc71a06d6ab62002694be29b0,PDT,-,Male,52,181
197,31691aca5b2081dd1ad0e8021d84aa2543ce5d29,PDT,-,Male,52,165
198,198ee51e90d1d30fde81f740cc2541212c5a22ab,UTC,-,Female,49,159
199,3da3e6834d813ae6df257c68d4bbdfbde94f83b6,UTC,-,Female,25,168
200,ce360bea937f78ec1c8295df8912db769957a2c7,PDT,-,Male,63,192
201,9ce3d494aefc7101d6d946074b72df14ae914e22,PDT,-,Female,27,160
202,866a544f5dd1f28957864c85ef9e15c2930a2e37,PDT,-,Male,68,184
203,3763d99894a0dfa5df4a600dbe6bc1a153543581,UTC,-,Male,48,184
204,3106e4d957da9e6b3f24470894af43eae0a2a0c2,PDT,-,Male,38,176
205,a2dc1fa22af9c555ca945ef22848a594e8c78028,UTC,-,Male,31,180
206,72299c5ca1fd2101f55c93343a29a48a4962f9ad,UTC,-,Male,60,181
207,396585a8cce8dec04988643ef14daa392dcc9eec,UTC,-,Female,52,158
208,b5bf3459debf9c7c88171eb78a0625491a21278b,UTC,-,Female,54,174
209,c0f6d7be6b32c24122def6f377770c5853d56a44,UTC,-,Female,54,158
210,770b351c19f7cf925d4becab7beaeeb4daf398b4,UTC,-,Female,52,171
211,e3bc80124ed057ddf081f2835a98ac24ff7b1eaa,UTC,-,Female,45,161
212,e17e7564bae02242c3b01714e45b9bfcd779130c,PDT,-,Female,26,174
213,187f4263b3b0ac8063e21b52b699b72d5e13d84e,UTC,-,Female,23,164
214,1d30357c6dbaee16902243acb8f7938b3da4006c,UTC,-,Male,26,168
215,25e40d4e1f1a2bbe20a10cd45569bf474390b7e2,PDT,-,Male,43,172
216,df3c7bd87299d15f2871abf1b244bd0e7b22bd6e,UTC,-,Male,66,181
217,40967383afc024aa1cfb461ffe145d9711dd8354,UTC,-,Female,59,171
218,bf42b5e68eba177304dec2ffa2852a184ae5c783,PDT,-,Female,30,161
219,32554ffdee54b6577b0ccb47303c47de832b02e5,UTC,-,Male,24,177
220,bade70731207476516cf693986dd5eb4903f686e,UTC,-,Male,59,159
221,7f6f1afb965dede95f23f705a57ab192aff997bd,UTC,-,Male,34,182
222,8680ca27e39b89217dd5f630f2441e7df70dd48c,UTC,-,Male,29,179
223,47df7913219dd41eb37dc6361c2acbbafd478427,UTC,-,Female,64,151
224,e2c14c4e4106bd15436cdd51385cd8bdd20e3c6c,UTC,-,Female,37,161
225,14da4d60e4d255b76a17e1d97ccd38c2931446a6,PDT,-,Male,44,181
226,3b221689d085a25cd12b3734680c0c7994c30746,PDT,-,Female,32,164
227,a7f7f670e92f69174dcfef48adfd4b78d8beaf57,UTC,-,Female,62,162
228,35530afef6a64387bcbb66ff66b9cc0f87435814,UTC,-,Male,37,176
229,621f35b0cfcdda152c299e4b1139e9aa6bde00ac,PDT,-,Male,25,186
230,3bdb163f93a64a7905ac8676da7601275030345b,PDT,-,Male,55,190
231,2bcb64f655fcbe9f63fa49d95c8e99cc1ad0d2af,UTC,-,Male,52,181
232,92df800d3aa9506d340cdb58d9a012d7793fe329,UTC,-,Female,26,157
233,fca868588601e1328ec767e4b6da608399524466,UTC,-,Male,71,169
234,f12e52cf2cd48bf1fed16c7bdb22fd6c1c70f799,PDT,-,Male,38,180
235,1e821cb6b47193685b9b86265862fe5b88ad671f,UTC,-,Female,23,174
236,67bcc12b65ec954329018435f2a5232cacca8bd8,UTC,-,Male,38,189
237,48f7d3291aac2f863beab2e080901aec13c18295,UTC,-,Male,29,164
238,bb3df4e94aec7cbebd261b913a9f410c7490df2d,UTC,-,Male,45,176
239,16c7e2d3e03380a85415197ea833342508dd6b97,UTC,-,Male,52,169
240,7c5fc2b0a9425bb3d418ab57f018548b3c1b2227,UTC,-,Female,43,164
241,49c86e2c62eb86e6eeaa048758628ed4665c6c45,UTC,-,Male,47,174
242,fcb138adc30cdc36bad0a656ece4984a3fd07367,PDT,-,Female,50,160
243,38f2ef4a7b64e6fc80b8bc51b174a1b288f2e1bf,UTC,-,Male,101,169
244,f70e55ae2223a277b27eafd250b06b6bfaf1e3fe,PDT,-,Male,40,181
245,d49ddf5fd8446f28e52700861bedfb4ea058715b,UTC,-,Male,69,177
246,7a7803b8c55b13f4e86015b5fe86a49dec26d2ad,PDT,-,Female,35,158
247,42f9bbd331880b1f7fec1194d1bb51ebcbe334ab,UTC,-,Male,42,185
248,2143d2bbbc4ae6babd65d696ab3f836d4f130ad2,UTC,-,Male,65,191
249,be0a2dbc76655ae186f373da2d085e56683c6656,UTC,-,Male,30,174
250,5b8f9f509d57b16480921143bc147c13cb558c78,UTC,-,Female,64,161
251,c69f863db4093c60a33ffff996b47bf3eda6fbf9,UTC,-,Female,45,167
252,ade5f3e03975330ee0e48b3bba61eabc165f0806,UTC,-,Female,32,161
253,4c1e20d973a72f79259ef27d51f3d311d8276920,UTC,-,Male,32,174
254,1f3b3d54cb9482e0f48dca8fadec48a7653191f3,UTC,-,Male,45,181
255,67bf56493bd4d28b47070b0a765366fd15c3ae41,UTC,-,Female,55,161
256,369725c2a694b40e5b4c93df859edb151fbecb39,PDT,-,Female,31,164
257,beefd0e78dbb3cf2877def42ae0de8def6de592b,PDT,-,Male,31,176
258,3fcc3d76917b530233b08a75d129f6bb611638a8,PDT,-,Male,56,179
259,d02f0e0069f7c9dc73764e0690e5810c684e0962,PDT,-,Female,51,179
260,8984a429f61b60c7d32a989df636c52cbd7c3cc4,UTC,-,Male,24,178
261,a54bfef0755c5992afa230275d23949b5486cc3c,UTC,-,Female,20,157
262,8f5debb198c9715a56094672f4f391310561ea9e,UTC,-,Male,30,194
263,fa5170e57aa462f08821a91f604af6be6c815589,UTC,-,Male,46,179
264,30f64d36ea405f36e7ee2e19f390a7a5ebbc306a,PDT,-,Male,33,182
265,4731768fccf3c061219643b8d61e2f9af5583aed,PDT,-,Female,23,177
266,7a8d3cdb5c4683954fc789b95e02cf925f613259,UTC,-,Male,13,148
267,846ab26b3c8ee8f2246dd9e02a2f1b09433e2df0,PDT,-,Male,43,176
268,f287c9abb3a1112e2889127c06f9e492ee3a6d09,UTC,-,Female,48,168
269,fb10ca81cac669a5a85028892eea78f43786ed99,UTC,-,Male,27,181
270,3fd5c1e017515d828a3ea411789d070ae9f38df2,UTC,-,Female,38,167
271,690a8fcbd663e636389ff896892ade5f8f8794b4,PDT,-,Male,46,179
272,9566237e2758c15d604d45b5587c6a550c4115c7,UTC,-,Female,27,169
273,95acdd7c644120c1d892f2bd98045214e9feace9,UTC,-,Male,31,171
274,6d51f4ffe37e3066d99b6cea613e4a7f0e931693,UTC,-,Male,63,179
275,a5e1f408306f785f7b94d4fd51ccc8ec069a2826,UTC,-,Male,30,177
276,389c798291c1d19c92389c88fa71ceecdbacfa4d,PDT,-,Female,20,151
277,331f8c12822280659a6584dd25c6a30fc1744c81,UTC,-,Male,29,181
278,d54951861c3bc6a5ca52d1c078f9367b54f9b52d,UTC,-,Male,25,180
279,c50301245113bf867fa2e3e48b423345d840186d,UTC,-,Female,39,164
280,851b1a2a6d94e508a8a9d367e4698c47e0eab5d8,PDT,-,Male,34,176
281,2993fca1d37ff5ce8fb77a06168f49077917d9c5,UTC,-,Male,28,174
282,75dd4e18bda6878718ef16a04953c3a65c68726e,UTC,-,Female,77,159
283,c2094945e71b925d16d15e311d0cdef23d87c6ea,UTC,-,Male,52,3
284,96312036259da3df468ca5bb52ebf92f32862e6e,UTC,-,Female,45,149
285,a88034cc704f30193cb02ccc87ff5a9fd64eb57d,PDT,-,Female,43,161
286,294b095377606694fb30e42f5bce9202cb144518,UTC,-,Female,29,153
287,4016127c9b84399b12c148aaac57d5626a3213a1,PDT,-,Male,52,174
288,6ab72e3da1f341559973c74857a24abb8ffb9171,PDT,-,Male,46,184
289,f9abb8911ee7e6607967a97d5a475bb4759dd13a,PDT,-,Male,73,179
290,315f67c3c5267ecfab9c2f13ee1fbafef02dd88d,UTC,-,Female,24,160
291,202959c1c692c1eb626b3c379dbc53d284a96783,UTC,-,Male,62,174
292,e6db15fde3cd1c2c5aeb63dcb16c3957451d6c66,UTC,-,Female,71,163
293,c37aa05b852468115bf9fd228b86d7ed78288283,UTC,-,Female,79,159
294,1dbd3b22104d2bb4d7c1a9033d3b74ee19a3144e,PDT,-,Male,44,174
295,d5f6e8d386332fd1f3f0684ca6b5e8fc48db347b,UTC,-,Female,29,163
296,d46014e57316ce4dcb6d173dbfe5b19f5b2b1cdc,UTC,-,Female,32,160
297,df4f2af8af80cf7f89118e50659b5983f1f14f18,PDT,-,Male,53,195
298,ea4d6eb590253ee1f7fe1f9823d914042ddab70c,PDT,-,Female,70,164
299,8ecc7270b8d7cb16fda7700d11c7170ddb25e6ac,PDT,-,Male,67,192
300,c845c2256a8e3fea8dd358b32152f0e46b52a047,UTC,-,Male,26,173
301,f4210e3bd7eb49119e13d3124048e12411c5cad4,UTC,-,Female,46,156
302,6be81d6713519e07b795c457cb44da0ee1770d0b,UTC,-,Female,42,168
303,3fe955c0be03a516e4be851b46385c7628cbfa4b,UTC,-,Male,47,166
304,b0585612c28d1919190a7a2996aeed3acf17ef3a,PDT,-,Female,39,179
305,a78c7acc3b8927c75ae7bd9a175bf39557cc4ed4,UTC,-,Male,61,184
306,f855b09e49f3aa9a51afe2dab6827d1b7a8126e4,UTC,-,Female,23,170
307,ce1406102b33196cdde5ed961c9dec61e971b5d0,UTC,-,Female,33,163
308,8df32b78f03007f71f11cd71ef9fe58cf0110c1a,UTC,-,Male,55,177
309,ca6019849781991b4b1a7ccb8487335d1dcd8ebd,UTC,-,Female,47,168
310,a1209e14b7b80baddfa9b3ef3d48fff5419e28cb,UTC,-,Male,57,186
311,8009048e7e4588bf7d4ba27188649379fff42470,UTC,-,Male,54,171
312,6f45b45968016a97dba6d53a3cbeb91aeda5a3a5,PDT,-,Female,23,164
313,1890cbc3b4713fe4999fb39a623b0ed55ffa8b0d,PDT,-,Male,30,186
314,ef136889a9051d3d3ee2de79fb2ddff2c22f4d10,PDT,-,Male,47,187
315,65e617f0d53b3805c3f1e9eb6ab6d15a3e93e90e,UTC,-,Female,58,164
316,457613159e4cb31ba50a3cb237d2bb7b1d04166d,PDT,-,Female,36,176
317,9bb8d857c57923344203ac2561ba8b77acd55924,PDT,-,Female,29,165
318,1a11e750e119384ddd8529a11d6b1861255f9287,UTC,-,Male,48,176
319,bb92b2a27d68bfce77038359a0c4fbff523ee1ec,UTC,-,Female,37,159
320,c332f0b9a32c8836abf9ce6aafc0a53d76e69d42,UTC,-,Male,35,171
321,8797d033ce1ec75777b74cf51b0d2aeca1eef270,PDT,-,Male,47,178
322,92ec3d49270a2091f6085bede0a00decc10280c3,UTC,-,Female,47,176
323,c77f5509476caad2e850eac6efa7ed87c13cf010,UTC,-,Male,29,171
324,e6b25fb88724b44c185d89bed3ac24767f023b08,PDT,-,Male,47,179
325,de1b2696a88baa1e3c83345b3b2ef120edc3e73a,UTC,-,Male,50,173
326,a7236dd56ed37abd22ee35821c74fe23e7404ec0,UTC,-,Female,46,168
327,e4ac3da2276900ee23e7fd4fac5d482a8a0e77ad,UTC,-,Female,70,161
328,f9ba8dad824b7f4b263cce2e46343ad7d9a4146d,PDT,-,Male,21,177
329,ee82550ae81f18d1eac98efed9502b44b4bca0d4,PDT,-,Male,24,168
